VGS	Id(J1)
-2.800000000000000e+00	5.330518e-05
-2.850000000000000e+00	2.998816e-05
-2.900000000000000e+00	1.332986e-05
-2.950000000000000e+00	3.332920e-06
-3.000000000000000e+00	1.387211e-11
-3.050000000000000e+00	1.392320e-11
-3.100000000000000e+00	1.397428e-11
-3.150000000000000e+00	1.402535e-11
-3.200000000000000e+00	1.407643e-11
-3.250000000000000e+00	1.412750e-11
-3.300000000000000e+00	1.417858e-11
-3.350000000000000e+00	1.422964e-11
-3.400000000000000e+00	1.428071e-11
-3.450000000000000e+00	1.433178e-11
-3.500000000000000e+00	1.438284e-11
-3.550000000000000e+00	1.443390e-11
-3.600000000000000e+00	1.448495e-11
-3.650000000000000e+00	1.453601e-11
-3.700000000000000e+00	1.458706e-11
-3.750000000000000e+00	1.463811e-11
-3.800000000000000e+00	1.468916e-11
-3.850000000000000e+00	1.474021e-11
-3.900000000000000e+00	1.479125e-11
-3.950000000000000e+00	1.484229e-11
-4.000000000000000e+00	1.489333e-11
-4.050000000000000e+00	1.494437e-11
-4.100000000000001e+00	1.499540e-11
-4.150000000000000e+00	1.504643e-11
-4.200000000000000e+00	1.509746e-11
-4.250000000000000e+00	1.514849e-11
-4.300000000000000e+00	1.519952e-11
-4.350000000000001e+00	1.525054e-11
-4.400000000000000e+00	1.530156e-11
-4.450000000000000e+00	1.535258e-11
-4.500000000000000e+00	1.540360e-11
-4.550000000000000e+00	1.545462e-11
-4.600000000000001e+00	1.550563e-11
-4.650000000000000e+00	1.555664e-11
-4.700000000000000e+00	1.560765e-11
-4.750000000000000e+00	1.565866e-11
-4.800000000000001e+00	1.570966e-11
-4.850000000000001e+00	1.576067e-11
-4.900000000000000e+00	1.581167e-11
-4.950000000000000e+00	1.586267e-11
-5.000000000000000e+00	1.591366e-11
-5.050000000000001e+00	1.596466e-11
-5.100000000000001e+00	1.601565e-11
-5.150000000000000e+00	1.606664e-11
-5.200000000000000e+00	1.611763e-11
-5.250000000000000e+00	1.616862e-11
-5.300000000000001e+00	1.621961e-11
-5.350000000000001e+00	1.627059e-11
-5.400000000000000e+00	1.632157e-11
-5.450000000000000e+00	1.637255e-11
-5.500000000000000e+00	1.642353e-11
-5.550000000000001e+00	1.647450e-11
-5.600000000000001e+00	1.652548e-11
-5.650000000000000e+00	1.657645e-11
-5.700000000000000e+00	1.662742e-11
-5.750000000000000e+00	1.667839e-11
-5.800000000000001e+00	1.672935e-11
-5.850000000000001e+00	1.678032e-11
-5.900000000000000e+00	1.683128e-11
-5.950000000000000e+00	1.688224e-11
-6.000000000000000e+00	1.693320e-11
-6.050000000000001e+00	1.698416e-11
-6.100000000000001e+00	1.703511e-11
-6.150000000000000e+00	1.708607e-11
-6.200000000000000e+00	1.713702e-11
-6.250000000000000e+00	1.718797e-11
-6.300000000000001e+00	1.723892e-11
-6.350000000000001e+00	1.728987e-11
-6.400000000000000e+00	1.734081e-11
-6.450000000000000e+00	1.739176e-11
-6.500000000000000e+00	1.744270e-11
-6.550000000000001e+00	1.749364e-11
-6.600000000000001e+00	1.754458e-11
-6.650000000000000e+00	1.759551e-11
-6.700000000000000e+00	1.764645e-11
-6.750000000000000e+00	1.769738e-11
-6.800000000000001e+00	1.774831e-11
-6.850000000000001e+00	1.779924e-11
-6.900000000000000e+00	1.785017e-11
-6.950000000000000e+00	1.790110e-11
-7.000000000000000e+00	1.795202e-11
